Timeslot,1st speaker name,1st speaker handle,2nd speaker name,2nd speaker handle,3rd speaker name,3rd speaker handle,4th speaker name,4th speaker handle,talk id,Linked Sessions,Conference Events,Title,Description,Location,Session Type,Type,Start,End,Location Description,Track
"March 28, 2026 03:00 PM - 03:30 PM",@aendra.com,Aendra Rininsland,,,,,,,PdJ6Q8d,Journalism must create its own algorithms,Day 3 Slot 8 b,Journalism must create its own algorithms,"There is now an abundance of evidence that corporate social media owners are putting their thumb on the algorithmic scale. Between increasing the visibility of far-right viewpoints, shadowbanning content with external links, and the disintermediation of media orgs through AI-based summary results, it is an incredibly challenging time to be in the news business.

There is one bright spot, however: ATProto. 

Join Aendra Rininsland, creator of the News and Trending News feeds, as she discusses why it's not just possible for the media industry to create its own algorithms for news content, but also profoundly necessary for the future of quality journalism.",Performance Theater,Presentation,Session,"March 28th, 2026 3:00pm","March 28th, 2026 3:30pm",,Media and Civics
"March 28, 2026 02:30 PM - 03:00 PM",cameron.stream,Cameron Pfiffer,,,,,,,9qkWqPG,Building Future of Artificial Intelligence on AT Protocol,Day 3 Slot 7 c,Building Future of Artificial Intelligence on AT Protocol,"The future of AI is collective intelligence, not a single superintelligent model. The infrastructure to support that collective already exists: portable identity, public reputation, federated coordination. 

My talk uses evidence from months of running social AI to argue that ATProtocol is uniquely suited to be the foundation for AI collective intelligence, and what I expect to come next. ",Room 2301,Presentation,Session,"March 28th, 2026 2:30pm","March 28th, 2026 3:00pm",,Development and Protocol
"March 28, 2026 03:00 PM - 03:30 PM",kobi.bsky.social,Kobi Gurkan,,,,,,,gDP6A8N,Account logic in ATProto using Trusted Execution Environments,Day 3 Slot 8 c,Account logic in ATProto using Trusted Execution Environments,"See https://www.notion.so/ATmosphere-conf-talks-2d45c481e23180008c7cf7c9551904b8?source=copy_link

",Room 2301,Presentation,Session,"March 28th, 2026 3:00pm","March 28th, 2026 3:30pm",,Development and Protocol
"March 28, 2026 04:00 PM - 04:10 PM",@pop.pe,Glenn Poppe,,,,,,,lbkWPeN,Oaklog: Building a community calendar in the Oakland Bay Area,Day 3 Lightning talk b 1,Oaklog: Building a community calendar in the Oakland Bay Area,"Our working group (oaklog.org) is collaborating with local media publications, civic organizations, community leaders, and local venues to build a digital commons for event listings in the Oakland Bay Area. We'll share findings from our work co-designing with local information stewards and how we're exploring AT Protocol as a municipal utility that makes local data reliable, accessible, and reusable across organizations and tools.",Performance Theater,Lightning Talk,Session,"March 28th, 2026 4:00pm","March 28th, 2026 4:10pm",,Media and Civics
"March 28, 2026 04:00 PM - 04:10 PM",@immber.bsky.social,Jessie Rushing,,,,,,,9qP16Kp,Stop Hallucinating the Protocol: Grounding your AI Agents with the Official ATproto Docs,Day 3 Lightning talk c 1,Stop Hallucinating the Protocol: Grounding your AI Agents with the Official ATproto Docs,"Unleash the full power of the AT Protocol documentation for your AI agents. In this lightning talk, Jessie will show you how to feed your agent the exact documentation it needs when it needs it. You will learn how to query the current official documentation through a remote MCP server, making it quicker and easier to build ATproto apps.",Room 2301,Lightning Talk,Session,"March 28th, 2026 4:00pm","March 28th, 2026 4:10pm",,Development and Protocol
"March 28, 2026 04:30 PM - 04:40 PM",@robin.berjon.com,Robin Berjon,,,,,,,ZjMOl7o,Matadata! Publishing scientific data straight to AT,Day 3 Lightning talk c 4,Matadata! Publishing scientific data straight to AT,Project Matadata is a project to publish and read science metadata directly to AT. This makes scientific data accessible in verified ways and widely disseminated. ,Room 2301,Lightning Talk,Session,"March 28th, 2026 4:30pm","March 28th, 2026 4:40pm",,Development and Protocol
"March 28, 2026 04:30 PM - 05:00 PM",@sebastian.eurosky.social,Sebastian Vogelsang,,,,,,,ja4ooAa,Building Public-Interest Infrastructure on ATProto,Day 3 Slot 10 b,Building Public-Interest Infrastructure on ATProto,"Eurosky is a European initiative building shared ATProto infrastructure operated under EU law: PDS, relays, AppView capacity, and protocol-level moderation services. This talk explains why social media must be treated as critical infrastructure, how self-certifying data enables real separation of powers, and how a shared-cost moderation model lets independent developers comply with diverse legal regimes without central platform control.",Performance Theater,Presentation,Session,"March 28th, 2026 4:30pm","March 28th, 2026 5:00pm",,Media and Civics
"March 28, 2026 05:00 PM - 05:30 PM",@holke.xyz,Holke Brammer,,,,,,,J9EgEdX,"Hypercerts on ATProto: Collective Funding, Evaluation, and Ownership as Social Data",Day 3 Slot 11 b,"Hypercerts on ATProto: Collective Funding, Evaluation, and Ownership as Social Data","This talk introduces hypercerts as a primitive for collective funding. It shows how activities, evidence, and plural evaluations can be published as durable records without relying on centralized platforms or single metrics. Attendees will learn how ATProto’s identity, record, and graph model enables new allocation mechanisms in which information production is endogenous and reusable across applications. The session connects protocol architecture with real-world funding workflows, offering concrete patterns others can adapt for funding public goods and collective action.",Performance Theater,Presentation,Session,"March 28th, 2026 5:00pm","March 28th, 2026 5:30pm",,Development and Protocol
"March 28, 2026 04:40 PM - 04:50 PM",@jeremie.com,Jer Miller,,,,,,,000Jer,The Future of Open Source is Social,Day 3 Lightning talk c 6,The Future of Open Source is Social,"open source changed the world, but now it’s stuck in the age of pull requests and gatekeepers. what happens when you build it on a social protocol instead? (and complimentary to tangled) jeremie miller — creator of XMPP (the protocol behind whatsapp, zoom, and billions of daily messages) and bluesky board member — will demo something new built entirely on AT Protocol that reimagines how open source software gets discovered, shared, and trusted. this one’s going to break some brains.",Room 2301,Lightning Talk,Session,"March 28th, 2026 4:40pm","March 28th, 2026 4:50pm",,Development and Protocol
"March 28, 2026 04:30 PM - 04:40 PM",psyverson.bsky.social,Paul Syverson,,,,,,,000Syverson,Paul Syverson Lightning Talk,Day 3 Lightning talk c 5,Paul Syverson Lightning Talk,TBD,Room 2301,Lightning Talk,Session,"March 28th, 2026 4:30pm","March 28th, 2026 4:40pm",,Development and Protocol
"March 28, 2026 04:50 PM - 05:00 PM",@mmccue.bsky.social,Mike McCue,,,,,,,81Xovjr,Feeds Are The New Websites,Day 3 Slot 10 c,Feeds Are The New Websites,"How can we bring the open social web to millions more people? In 2 minutes, we'll show you how to curate content and create community that others can engage with from anywhere. Let's decentralize custom feeds and make them as easy to find and engage with as a website.",Room 2301,Lightning Talk,Session,"March 28th, 2026 4:50pm","March 28th, 2026 5:00pm",,Community
"March 28, 2026 05:00 PM - 05:30 PM",@iame.li,Eli Mallon,,,,,,,RGqppqd,How Streamplace Works: VODs,Day 3 Slot 11 c,How Streamplace Works: VODs,"Here's a hard-won lesson from a video engineer: if you're gonna do both livestreaming and VOD, do livestreaming first, it's harder. And hey, livestreaming is working pretty good. Here's how we're going to do VOD, and here's why the architecture looks pretty much like building a globally-distributed fleet of atproto PDS and Relays. And here's how you can join!",Room 2301,Presentation,Session,"March 28th, 2026 5:00pm","March 28th, 2026 5:30pm",,Development and Protocol
"March 29, 2026 10:00 AM - 10:30 AM",@tylerjfisher.com,Tyler Fisher,,,,,,,VLXBbzJ,How and Why News Organizations Should Build on the ATProtocol,Day 4 Slot 1 b,How and Why News Organizations Should Build on the ATProtocol,"For decades, news organizations have chased audiences on proprietary social platforms where they have no control over how their content is delivered. The ATProtocol offers a chance for news organizations to start fresh and participate as first-class citizens in the open social web. In this panel, we will discuss strategies for getting started on ATProto as a news organization and the potential benefits of moving early.",Performance Theater,Discussion / Panel,Session,"March 29th, 2026 10:00am","March 29th, 2026 10:30am",,Media and Civics
"March 29, 2026 10:30 AM - 11:00 AM",@cypherhippie.bsky.social,Paul Fuxjäger,,,,,,,jaAWVRY,Bringing Self Sovereign Identities to the Masses via ATproto (and how to maximize coherence between upcoming DID:PLC forks),Day 4 Slot 2 b,Bringing Self Sovereign Identities to the Masses via ATproto (and how to maximize coherence between upcoming DID:PLC forks),"I will make the case that DID:PLC forks will inevitably emerge as the wider atproto ecosystem keeps gaining global relevance: pressure on the governance model of the identity system will increase to a point where conflicts (e.g. over which DID suspension requests should be honored and which should be ignored) cannot be easilly resolved within a ‘permissioned consortium’ (as proposed in https://atproto.com/guides/identity) anymore. It seems evident that we can only argue about WHEN this will happen, not IF it will happen.

In order to be able to maintain coherent UI experiences (without threads looking more and more broken due to different forks being used in different appviews) it seems necessary to extend the adversarial design patterns at the heart of the bluesky project (‘the company is the future adversary’) to the governance model of the underlying DID:PLC identity system: ‘the consortium will become target of future adversaries’.

Can permissionless observatory networks help?
Can we avoid using cryptoeconomics?
What other options seem useful?

During this presentation, I will present the results of my ongoing PhD research project on these questions.

---

About me:

I'm part of a small team (including Marcus Sabadello, co-author and editor of the DID specification) that started to advocate for the adoption of DIDs within ActivityPub networks back in 2018 (predating Jay Graber’s ecosystem review and the birth of the bluesky project).

https://github.com/WebOfTrustInfo/rwot9-prague/blob/master/topics-and-advance-readings/fediverse-did-integration.md

https://chaos.social/@cypherhippie/102270069807129706

Link to a (somewhat cringe) video for a grant application in 2018: https://youtu.be/UJn7cLNh_q8?t=85

Recent talk at fediday berlin:
Protocol Convergence within Open Science Communication Networks
https://fair.tube/w/p/2PEFZ5cdptsVASU4HTUakA

Upcoming presentation at fosdem:
Increasing Long Term Stability of Relations Between Fediverse Identities using SSI
https://fosdem.org/2026/schedule/event/RZRZ9P-increasing_long_term_stability_of_relations_between_fediverse_identities_using_s/",Performance Theater,Presentation,Session,"March 29th, 2026 10:30am","March 29th, 2026 11:00am",,Development and Protocol
"March 29, 2026 11:00 AM - 11:30 AM",@jonathanwarden.com,Jonathan Warden,,,,,,,1AzdYWM,Bluenotes: Community Notes for ATProto,Day 4 Slot 3 b,Bluenotes: Community Notes for ATProto,"I'll briefly demonstrate Bluenotes, a fork of the Bluesky with Community Notes. Then I'll discuss a proposed ""Open Community Notes"" standard and lexicon for Community Notes on ATProto, and discuss challenges such as preserving contributor anonymity and defending against manipulation.",Performance Theater,Presentation,Session,"March 29th, 2026 11:00am","March 29th, 2026 11:30am",,Development and Protocol
"March 29, 2026 11:30 AM - 12:00 PM",@chipnick.com,Evelyn Osman,,,,,,,q4qlVLY,Community privacy in a decentralized network,Day 4 Slot 4 b,Community privacy in a decentralized network,"How we can build a community that is on ATproto with content that can be contained to users within their community boundary, a form of privacy without forcing us completely off the protocol. Rather than focusing on how to handle private data with the dimensions of access we will implement a design that functions at the appview allowing any client to see it.",Performance Theater,Presentation,Session,"March 29th, 2026 11:30am","March 29th, 2026 12:00pm",,Development and Protocol
"March 29, 2026 10:00 AM - 10:30 AM",@meri.garden,Meri Leeworthy,,,,,,,Mej2N5X,Making space for the Protoverse,Day 4 Slot 1 c,Making space for the Protoverse,"Roomy is a group messaging app that gives online communities tools for autonomous collaboration — designable spaces not just for chat, but for cultivating a web of shared understanding together.

We show how cheap, user-controlled, interoperable data on ATProto can enable online communities to channel impassioned mobilizing into sustained organizing in the shadow of Big Tech's empire.",Room 2301,Presentation,Session,"March 29th, 2026 10:00am","March 29th, 2026 10:30am",,Community
"March 29, 2026 10:30 AM - 11:00 AM",@vicwalker.dev.br,Victoria Machado de Oliveira,,,,,,,WOkL11Q,How to have more non-english speaking users,Day 4 Slot 2 c,How to have more non-english speaking users,"I would give real examples from Bluesky and other ATmosphere apps that are keeping more international users away (being too US-centric), and propose some ideas to improve it, and guidelines that new apps could follow to avoid the problem more easily. I can also explain my work through ATBrasil (@atproto.com.br) to bridge the tech and non-tech communication to Brazilians, and my previous collaborations translating multiple apps (how to set up localizations).",Room 2301,Discussion / Panel,Session,"March 29th, 2026 10:30am","March 29th, 2026 11:00am",,Community
"March 29, 2026 11:00 AM - 11:30 AM",@signez.fr,Stanislas Signoud (Signez),,,,,,,zxRkxk8,Blousques: Case Study on the Challenges in Translating Bluesky's UI,Day 4 Slot 3 c,Blousques: Case Study on the Challenges in Translating Bluesky's UI,"Translating Bluesky's user interface into French was the easy part. Making it feel ‘native’ to users is something else entirely!

I18n is common in software, yet Bluesky has specific challenges: should we translate it using gender-neutral terms? How to translate names embedded on-protocol? How to translate features not yet released, as an external, voluntary contributor?

Translating the UI is also a good way to spot what is really missing in the daily lives of non-English users of the platform.",Room 2301,Presentation,Session,"March 29th, 2026 11:00am","March 29th, 2026 11:30am",,Development and Protocol
"March 29, 2026 11:30 AM - 12:00 PM",@linguangst.bsky.social,lindsay blackwell,,,,,,,eqVMWz0,Content Moderation Futures,Day 4 Slot 4 c,Content Moderation Futures,"Contemporary social media platforms wield extraordinary influence over public discourse—yet their governance practices are frequently characterized as opaque, unfair, and ineffective. While experts agree that successful content moderation is principled, consistent, contextual, proactive, transparent, and accountable, technology companies repeatedly fail to achieve these goals at scale. Drawing on participatory research with various content moderation professionals, this talk identifies structural barriers to effective platform governance and explores potential solutions. Attendees will gain a more intimate understanding of the values, challenges, and contradictions that ultimately determine how platforms are governed, including practical strategies for promoting more equitable social media futures.",Room 2301,Presentation,Session,"March 29th, 2026 11:30am","March 29th, 2026 12:00pm",,Media and Civics
"March 29, 2026 01:30 PM - 02:00 PM",gov.glados.computer,Govind Mohan,,,,,,,EkexvrN,~~Compete or kill~~ Cooperate and Succeed!,Day 4 Slot 5 b,~~Compete or kill~~ Cooperate and Succeed!,"Products no longer need to steal another killer feature that's on another app, they can just share it! This presentation will go through a product I'm working on that uses lexicons to integrate bidirectionally with a few other applications on the protocol. Future considerations could involve collaborative UI components for a lexicon.",Performance Theater,Presentation,Session,"March 29th, 2026 1:30pm","March 29th, 2026 2:00pm",,Development and Protocol
"March 29, 2026 02:00 PM - 02:30 PM",@maxine.science,Maxine Levesque,,,,,,,q4QAgVk,Building decentralized AI on atproto,Day 4 Slot 6 b,Building decentralized AI on atproto,"With a renewed push in the AI field toward smaller, distilled models, the community outside the Big Labs™️ has greater and greater power to shape AI's future. @maxine.science will share a story of how Forecast Bio is building tools on atproto for (1) distributed, structured, streamable AI training data, and (2) a full phylogeny of model weights and evals across different training paths. Attendees will see how open infra built on atproto can put the frontier of AI back in the community's hands.",Performance Theater,Presentation,Session,"March 29th, 2026 2:00pm","March 29th, 2026 2:30pm",,Development and Protocol
"March 29, 2026 02:30 PM - 03:00 PM",@baldemo.to,Baldemar Motomochi,,,,,,,WObY04Q,furryli.st: Scaling Community and Belonging in an Outrage-Driven World,Day 4 Slot 7 b,furryli.st: Scaling Community and Belonging in an Outrage-Driven World,"In an era where engagement-driven algorithms prioritize outrage over connection, how do we build online spaces that actually feel like home? We present furryli.st as a case study for the 'Curated Cluster' — a community defined not by black-box algorithms, but by shared values, human curation, and the protection of marginalized voices. We explore how to build communities that offer the safety and protection of the 'cozy web' without sacrificing the reach and discoverability of the open network.",Performance Theater,Presentation,Session,"March 29th, 2026 2:30pm","March 29th, 2026 3:00pm",,Community
